FID,nazev,diverzita,HnizdoZem,HnizdoKer,HnizdoStro,std,d00,d01,d02,REKULT,RN,PSRI,SLO,CUR,TWI,X,Y
0,A01,6,2,4,1,2.259,17.4,2.3,4.8,None,N,0.02106247,5.41,0.03,5.1,-779596.545086,-988151.846523
1,A02,16,2,4,8,3.328,13.9,10.8,20.6,None,N,0.049125632,12.18,-0.18,4.34,-779708.110176,-987873.362716
2,A03,8,1,6,3,1.51,16.7,16.1,11.1,None,N,0.039010305,7.92,0.08,4.6,-779819.675265,-987594.878909
3,A04,12,1,5,8,5.504,7.2,8.6,51.4,None,N,0.015335421,11.32,-0.05,4.15,-779931.240355,-987316.395102
4,A05,18,4,6,11,5.96,28.9,6.1,31.2,None,N,0.02016072,9.08,-0.2,4.6,-780042.805444,-987037.911295
5,A06,11,2,4,5,4.18,5.5,10.4,27.3,None,N,0.01742789,12.31,0.03,4.11,-779764.321637,-986926.346205
6,A07,14,3,8,5,3.881,10.6,18.6,45.9,None,N,0.020632728,13.06,-0.32,4.18,-779485.837830,-986814.781116
7,A08,9,3,4,2,3.241,9,24.2,53.2,None,N,0.017217282,9.88,0.06,4.22,-779207.354023,-986703.216026
8,A09,17,5,8,4,1.35,18.9,30.3,18.9,None,N,0.038992446,11.92,-0.1,4.13,-779095.788933,-986981.699833
9,A10,14,2,7,7,3.746,7.4,21,51,None,N,0.016258285,13.81,-0.06,3.98,-779374.272740,-987093.264923
10,A11,10,3,6,2,4.37,7.8,13.3,60.5,None,N,0.010306838,16.3,0.07,3.77,-779652.756547,-987204.830012
11,A12,8,2,4,3,2.036,16,7,10.3,None,N,0.028920206,12.91,0.03,4.22,-779541.191458,-987483.313819
12,A13,7,3,4,0,2.805,7.6,3,3.3,None,N,0.02126988,8.31,0.19,4.42,-779429.626368,-987761.797627
13,A14,7,2,5,2,2.306,25.3,2.5,4.5,None,N,0.007336941,7.37,-0.06,4.81,-779151.142561,-987650.232537
14,A15,9,1,4,4,1.667,21,2.1,0.8,None,N,0.107367764,4.48,0.13,5.09,-779262.707651,-987371.748730
15,A16,12,3,7,4,1.457,17,11.5,5.7,None,N,0.073135822,6.94,0.11,4.76,-778984.223844,-987260.183640
16,A17,11,6,4,3,1.746,20.4,6,7.3,None,N,0.08933759,4.31,-0.06,5.13,-778872.658754,-987538.667448
17,A18,7,3,4,1,1.217,18.6,0.2,0.1,None,N,0.030320237,5.05,-0.14,5.12,-778761.093665,-987817.151255
18,A19,7,4,2,1,1.985,9.5,6.5,17.3,Forest,R,0.038709524,7.23,0.06,4.76,-778482.609858,-987705.586165
19,A20,9,3,4,2,1.155,5.2,11.4,8.7,Other,R,0.032186361,3.97,-0.07,5.2,-778594.174947,-987427.102358
20,A21,9,5,4,1,1.229,3.9,10.8,12,Other,R,0.036243769,11.46,-0.01,4.38,-778705.740037,-987148.618551
21,A22,5,4,2,0,3.034,2.6,1.8,1.6,Other,R,0.039700902,3.08,0,5.38,-778427.256230,-987037.053461
22,A23,6,4,1,1,2.192,1.2,0.1,0.4,Other,R,0.060644729,5.08,-0.03,5.09,-778315.691140,-987315.537268
