"richness","X","Y"
48,-632158.233345591,-997593.169589394
52,-633620.08279367,-997418.740470222
55,-635245.850953732,-998625.129115778
50,-635081.835126729,-997244.218784696
65,-636543.625097245,-997069.553302672
59,-638170.097788295,-998275.575982713
42,-638005.381083988,-996894.769417983
49,-639467.186582237,-996719.596193487
61,-641094.02017317,-997924.840973058
43,-640928.817382059,-996544.097740101
55,-642390.51838476,-996368.436107138
58,-644018.034945337,-997573.315832119
56,-643852.141874129,-996192.65369503
44,-645313.832759919,-996016.607677711
38,-646941.89980902,-997220.966769639
48,-646775.426090054,-995840.355987581
59,-648237.002424197,-995663.95831629
63,-649865.621026974,-996867.971131711
68,-649698.503319513,-995487.437812652
52,-651160.034642266,-995310.692045273
57,-652789.203864041,-996514.170622402
63,-652621.45613783,-995133.734757972
61,-654082.982745629,-994956.498773515
54,-655712.711885064,-996159.360581147
62,-655544.390254499,-994779.026864206
50,-657005.826754371,-994601.407865673
60,-658636.18266569,-995803.915089912
59,-658467.18097515,-994423.671818682
52,-630371.975086302,-995005.143671932
42,-631996.366934891,-996211.960380574
39,-631833.020309823,-994830.967362856
36,-633294.119533444,-994656.643953204
40,-634919.138525474,-995863.114598169
30,-634755.13663666,-994482.2047158
51,-636216.159410045,-994307.644785647
50,-637841.819656529,-995513.776069064
50,-637677.148880941,-994132.966407167
50,-639138.200724544,-993957.896079771
51,-640764.248040855,-995163.240613111
41,-640599.066623473,-993782.453916223
42,-642059.99658598,-993606.881364736
57,-643686.701749403,-994811.907582901
48,-643520.854461795,-993431.187941975
46,-644981.777889464,-993255.269982058
55,-646609.055675298,-994459.7409373
52,-646442.580012793,-993079.140990267
63,-647903.398156348,-992902.861752448
64,-649531.280982539,-994106.941163305
50,-649364.132940964,-992726.459686914
64,-650824.905095448,-992549.801216916
64,-652453.306975222,-993753.355061861
53,-652285.562875042,-992372.932492776
55,-653746.323945803,-992195.780064668
64,-655375.304113058,-993398.769805721
56,-655206.981823065,-992018.389350674
65,-656667.648127346,-991840.879114094
66,-658297.235087323,-993043.526895797
64,-658128.242985904,-991663.269943158
61,-659588.873798127,-991485.405781677
66,-661218.997869724,-992687.461772768
62,-661049.388042022,-991307.315868813
51,-630047.535060019,-992242.868524079
45,-631671.169314739,-993449.778577885
52,-631507.838535616,-992068.76141605
51,-632968.170519247,-991894.527155918
35,-634592.438965749,-993101.13318204
39,-634428.422815023,-991720.183857415
48,-635888.682052945,-991545.716451974
41,-637513.604174263,-992752.009226387
45,-637348.89814932,-991371.142039431
33,-638809.185582518,-991196.161207889
39,-640434.489314569,-992401.628884324
33,-640269.29690645,-991020.822877389
47,-641729.456989392,-990845.367492216
38,-643355.422793791,-992050.479107188
43,-643189.539671637,-990669.826703332
42,-644649.710425667,-990494.00199804
36,-646276.220673608,-991698.547700691
33,-646109.74880168,-990317.945437371
43,-647569.792873172,-990141.765582439
50,-649196.899657177,-991345.98191509
35,-649029.744151287,-989965.493558003
55,-650489.763500332,-989788.93326012
52,-652117.425993644,-990992.567410793
51,-651949.721068253,-989612.123084141
35,-653409.711625542,-989435.071947268
54,-655037.892793151,-990638.15426362
47,-654869.572102541,-989257.791098495
49,-656329.478523857,-989080.383357834
61,-657958.310647905,-990283.147718064
54,-657789.298653885,-988902.874481126
52,-659249.165769212,-988725.095988201
67,-660878.511717058,-989927.311427695
65,-660708.915187212,-988547.0879924
60,-662168.700428533,-988368.821565192
