"NAME";"X";"Y";"july";"august"
"Aš";12.179572;50.220602;14.6967741935484;15.5354838709677
"Černá v Pošumaví";14.1072;48.7356;15.5193548387097;15.3387096774194
"Červená";17.5419;49.7772;15.6838709677419;15.5903225806452
"Červená";17.541944;49.777222;15.6838709677419;15.5903225806452
"Ústí nad Orlicí";16.4222;49.9803;17.1967741935484;16.9
"Ústí nad Orlicí";16.422222;49.980278;17.1967741935484;16.9
"Bělotín";17.8042;49.5869;17.9838709677419;17.5258064516129
"Bedřichov";15.13708;50.81511;13.8225806451613;13.2612903225806
"Bedřichov";15.142921;50.836981;13.8225806451613;13.2612903225806
"Bedřichov";15.147065;50.824187;13.8225806451613;13.2612903225806
"Bedřichov";15.14807;50.823797;13.8225806451613;13.2612903225806
"Bedřichov";15.149511;50.834362;13.8225806451613;13.2612903225806
"Bedřichov";15.152029;50.840168;13.8225806451613;13.2612903225806
"Bedřichov";15.154588;50.839376;13.8225806451613;13.2612903225806
"Bedřichov";15.158215;50.81445;13.8225806451613;13.2612903225806
"Bedřichov";15.160682;50.835161;13.8225806451613;13.2612903225806
"Bedřichov";15.162778;50.835;13.8225806451613;13.2612903225806
"Bedřichov";15.170314;50.808092;13.8225806451613;13.2612903225806
"Bedřichov";15.18133;50.81484;13.8225806451613;13.2612903225806
"Bedřichov";15.181405;50.813741;13.8225806451613;13.2612903225806
"Bedřichov";15.184398;50.809382;13.8225806451613;13.2612903225806
"Bedřichov";15.193421;50.826687;13.8225806451613;13.2612903225806
"Bedřichov";15.193579;50.828693;13.8225806451613;13.2612903225806
"Bohumín";18.3692;49.882;19.5161290322581;18.9322580645161
"Borkovice";14.636825;49.207925;18.3161290322581;18.4161290322581
"Brandýs nad Labem-St.B";14.6606;50.1897;18.6870967741935;18.6709677419355
"Brod nad Dyjí";16.5358;48.8733;20.1903225806452;20.1322580645161
"Broumov";16.343617;50.569966;17.0387096774194;16.7193548387097
"Byňov";14.799947;48.816603;17.1;17.1387096774194
"Bystřice nad Pernštejnem";16.25401;49.52416;16.8741935483871;17.2709677419355
"Bystřice pod Hostýnem";17.6706;49.3964;18.9838709677419;18.5
"Děčín";14.20258;50.75097;17.8064516129032;17.0903225806452
"Děčín";14.20433;50.69783;17.8064516129032;17.0903225806452
"Deštné v Orlic. horách";16.351959;50.306667;15.0225806451613;14.4354838709677
"Doksany";14.17;50.45889;18.5193548387097;18.2838709677419
"Doksany";14.1703;50.4583;18.5193548387097;18.2838709677419
"Doksy";14.66731;50.56811;17.4709677419355;16.5161290322581
"Domažlice";12.922385;49.444716;17.041935483871;17.5032258064516
"Dukovany";16.1344;49.0958;18.5193548387097;18.9129032258065
"Dukovany";16.134444;49.095556;18.5193548387097;18.9129032258065
"Dyjákovice";16.2992;48.7733;20.2935483870968;20.2064516129032
"Dyleň";12.502849;49.968079;12.8677419354839;14.4129032258065
"Františkovy Lázně";12.351238;50.116796;16.1032258064516;15.8322580645161
"Frenštát pod Radhoštěm";18.240568;49.541055;17.9225806451613;17.441935483871
"Havlíčkův Brod";15.5797;49.6119;18.0096774193548;17.3290322580645
"Hejnice";15.18317;50.88456;16.3870967741935;15.5967741935484
"Hejnice";15.243308;50.830763;16.3870967741935;15.5967741935484
"Hejnice";15.252335;50.844961;16.3870967741935;15.5967741935484
"Hejnice";15.275666;50.826196;16.3870967741935;15.5967741935484
"Hejnice";15.276634;50.825752;16.3870967741935;15.5967741935484
"Hladké Životice";17.949444;49.690556;18.4290322580645;17.9
"Holešov";17.5697;49.3206;19.1;18.9290322580645
"Holešov";17.57;49.320556;19.1;18.9290322580645
"Holenice";15.3022;50.5303;16.4935483870968;16.4451612903226
"Holovousy";15.57805;50.376952;17.6903225806452;17.5064516129032
"Horská Kvilda";13.56502;49.053673;12.4322580645161;11.8483870967742
"Hulice";15.086667;49.721111;17.1290322580645;16.6677419354839
"Husinec";13.9883;49.0522;16.7774193548387;16.8129032258065
"Cheb";12.391389;50.068333;16.0161290322581;16.3225806451613
"Churáňov";13.6131;49.0683;12.841935483871;13.4838709677419
"Churáňov";13.615278;49.068333;12.841935483871;13.4838709677419
"Ivanovice na Hané";17.0894;49.3092;19.7709677419355;19.4870967741935
"Jablonné v Podještědí";14.77375;50.77206;16.9258064516129;16.0258064516129
"Javorník";17.0075;50.3956;18.1064516129032;17.4903225806452
"Jeseník";17.183333;50.231111;16.0806451612903;15.358064516129
"Jevíčko";16.7269;49.6297;17.0322580645161;16.5645161290323
"Kamýk nad Vltavou";14.24637;49.63234;16.7290322580645;17.2483870967742
"Karlovy Vary";12.878151;50.227229;16.3387096774194;16.3451612903226
"Karlovy Vary";12.914167;50.201667;16.3387096774194;16.3451612903226
"Klínovec";12.967957;50.3948;10.5935483870968;11.3935483870968
"Klatovy";13.303016;49.39042;17.3290322580645;18.0064516129032
"Kocelovice";13.838611;49.467222;16.458064516129;17.0322580645161
"Kocelovice";13.8408;49.4669;16.458064516129;17.0322580645161
"Konstantinovy Lázně";12.975956;49.884787;15.8064516129032;15.841935483871
"Kostelní Myslová";15.439167;49.159167;16.9032258064516;17.5838709677419
"Kostelní Myslová";15.4392;49.16;16.9032258064516;17.5838709677419
"Krásné Údolí";12.920958;50.071286;15.1;15.2
